Environment: Lift 
 Robot: UR5e
 Controller OSC_POSE
 DDPG

num_epochs: 150 
 num_episodes: 10000
 episode_horizon 150

n_fc1: 300 
 n_fc2: 300

lr_actor: 0.001 
 lr_critic: 0.001

Training started...
Epoch	Reward-avg	Reward-min	Reward-max	Eps len-avg    	Critic loss-avg	Actor loss-avg 	Time taken
1    	4.9882    	0.0498    	30.9720   	150.0          	0.0057         	-1.3077        	237.4232  
2    	17.5815   	1.2930    	39.2540   	150.0          	0.0351         	-10.3182       	239.7736  
3    	23.8394   	3.7890    	45.6769   	150.0          	0.0942         	-21.9508       	241.0051  
4    	22.8751   	4.3762    	54.7268   	150.0          	0.2756         	-36.4155       	230.5715  
5    	19.7733   	3.3386    	43.3752   	150.0          	0.4721         	-52.5975       	231.4096  
6    	18.5988   	1.3906    	45.5083   	150.0          	0.5768         	-64.9300       	231.5303  
7    	18.1713   	2.4850    	46.2304   	150.0          	0.6242         	-72.9833       	230.8283  
8    	19.7143   	2.3900    	43.8455   	150.0          	0.6953         	-77.6060       	231.4176  
9    	17.8883   	3.1705    	42.0943   	150.0          	0.9109         	-82.5170       	229.2666  
10   	20.0568   	3.0472    	44.5764   	150.0          	1.1027         	-88.1768       	229.5829  
11   	17.5649   	2.5668    	38.6081   	150.0          	1.3823         	-93.4600       	229.3341  
12   	16.8591   	4.9185    	42.3976   	150.0          	1.8373         	-99.5380       	232.8449  
13   	17.4385   	1.8280    	37.5207   	150.0          	2.4780         	-106.7626      	230.5225  
14   	16.6631   	0.6232    	46.9389   	150.0          	2.9241         	-115.9647      	227.6585  
15   	18.5287   	1.1729    	46.0143   	150.0          	2.9906         	-122.9221      	230.5904  
16   	15.3970   	3.2850    	42.9856   	150.0          	3.7303         	-129.7696      	227.5252  
17   	17.4793   	2.9471    	42.9684   	150.0          	3.5795         	-134.7084      	227.7199  
18   	17.4739   	2.6979    	44.0714   	150.0          	3.5312         	-135.5983      	225.8908  
19   	15.4824   	1.9651    	38.7296   	150.0          	3.8467         	-136.6845      	228.9794  
20   	15.1519   	1.4673    	66.3058   	150.0          	3.8960         	-138.6187      	229.7253  
21   	16.8514   	1.8746    	41.1850   	150.0          	4.2765         	-139.1262      	227.0990  
22   	15.7430   	2.4330    	39.3927   	150.0          	4.3152         	-140.2092      	228.9680  
23   	15.5915   	2.6668    	42.6616   	150.0          	3.8489         	-139.2545      	231.7891  
24   	16.1821   	1.3955    	46.9944   	150.0          	3.7772         	-135.3979      	230.3776  
25   	16.1273   	1.4780    	34.6914   	150.0          	3.6412         	-132.2781      	231.7366  
26   	13.0143   	1.9030    	34.0023   	150.0          	3.4991         	-128.9203      	230.4411  
27   	15.0126   	2.4100    	40.5861   	150.0          	3.2605         	-125.5384      	231.9739  
28   	16.9590   	3.8368    	38.9451   	150.0          	3.2833         	-121.5414      	231.1124  
29   	18.4789   	0.0640    	40.9455   	150.0          	2.9088         	-117.0424      	235.4855  
30   	15.6733   	1.1635    	36.7313   	150.0          	2.7222         	-112.6909      	231.3090  
31   	16.9038   	1.5968    	44.9859   	150.0          	2.4342         	-108.0315      	231.2033  
32   	17.9232   	1.1813    	37.9949   	150.0          	2.2185         	-102.4786      	230.9790  
33   	17.7561   	3.9099    	41.6153   	150.0          	2.0255         	-97.2582       	231.1074  
34   	20.0983   	4.8607    	69.0804   	150.0          	2.1001         	-94.0032       	229.5031  
35   	20.3417   	1.5590    	99.1105   	150.0          	1.9407         	-90.9003       	231.5586  
36   	16.5827   	2.1222    	32.4644   	150.0          	1.9047         	-88.6714       	232.1284  
37   	19.4116   	1.6460    	55.1220   	150.0          	1.7739         	-86.3075       	228.9108  
38   	16.9406   	2.2851    	36.4142   	150.0          	1.8341         	-84.9924       	234.7382  
39   	16.6657   	1.4437    	52.4187   	150.0          	1.7191         	-83.8772       	232.7554  
40   	19.0769   	4.0379    	114.9408  	150.0          	1.6627         	-81.5134       	231.2309  
41   	16.6426   	2.9628    	49.5681   	150.0          	1.4208         	-79.1933       	234.6316  
42   	19.6715   	2.3470    	41.5616   	150.0          	1.0942         	-75.6285       	229.2378  
43   	22.5946   	1.2049    	86.1132   	150.0          	0.9985         	-71.4704       	233.0471  
44   	23.3014   	2.8174    	50.5222   	150.0          	0.8834         	-67.6600       	232.8692  
45   	21.7709   	2.5955    	101.1720  	150.0          	0.7344         	-63.5383       	235.5720  
46   	23.6468   	1.2099    	73.8695   	150.0          	0.6040         	-59.9342       	234.8373  
47   	27.9293   	5.4022    	62.0131   	150.0          	0.4717         	-55.7396       	234.7659  
48   	28.6544   	2.1044    	67.7643   	150.0          	0.4073         	-52.1760       	235.9112  
49   	29.9657   	5.9791    	92.3370   	150.0          	0.4370         	-50.0524       	232.2745  
50   	26.0999   	2.4269    	52.4827   	150.0          	0.3642         	-48.0708       	236.6181  
51   	33.6411   	4.4867    	116.9195  	150.0          	0.2912         	-45.5844       	237.9363  
52   	32.9656   	4.9333    	90.8876   	150.0          	0.2571         	-43.7854       	238.6595  
53   	35.6717   	5.2756    	113.4606  	150.0          	0.2610         	-42.7871       	235.6706  
54   	34.8945   	7.7544    	98.3532   	150.0          	0.3100         	-42.4318       	233.6969  
55   	25.9110   	1.8215    	69.9778   	150.0          	0.4186         	-43.7520       	234.9274  
56   	33.2665   	1.0619    	119.2865  	150.0          	0.5386         	-46.4230       	238.6819  
57   	34.1798   	4.8267    	119.3188  	150.0          	0.5509         	-48.0676       	238.2992  
58   	25.5337   	3.8295    	70.9456   	150.0          	0.6531         	-49.5462       	236.0276  
59   	30.6872   	6.1016    	108.7874  	150.0          	0.8193         	-52.0876       	237.0906  
60   	28.1653   	5.2934    	104.2925  	150.0          	0.9070         	-54.5790       	234.1500  
61   	31.2489   	2.3280    	126.3515  	150.0          	0.8432         	-56.8263       	235.2811  
62   	35.4164   	3.0084    	116.1864  	150.0          	0.6874         	-57.4492       	237.6672  
63   	35.2484   	5.6567    	121.9127  	150.0          	0.7831         	-57.5780       	234.4746  
64   	35.6271   	2.5741    	115.0848  	150.0          	1.0297         	-59.1236       	235.2280  
65   	30.1956   	5.3199    	126.3766  	150.0          	1.3684         	-62.4646       	233.8435  
66   	31.5509   	6.3522    	115.9422  	150.0          	1.7400         	-68.6473       	238.8568  
67   	37.8474   	6.2196    	131.8380  	150.0          	1.7052         	-72.4409       	237.3868  
68   	28.5461   	3.9961    	122.7173  	150.0          	1.9638         	-75.1905       	235.7571  
69   	31.4717   	7.4420    	124.7288  	150.0          	2.2958         	-78.9947       	238.0080  
70   	37.8146   	3.7989    	131.8245  	150.0          	2.3084         	-82.0943       	232.4365  
71   	42.7587   	7.0082    	127.6524  	150.0          	2.9998         	-85.1523       	237.7684  
72   	38.8882   	4.5582    	128.2886  	150.0          	3.8266         	-89.6406       	235.7764  
73   	32.4627   	0.0541    	127.1308  	150.0          	4.0498         	-95.2105       	237.5751  
74   	36.1652   	0.0962    	130.2572  	150.0          	3.2332         	-96.8841       	236.6320  
75   	28.5548   	3.2908    	122.7041  	150.0          	2.2635         	-94.3239       	235.2533  
76   	53.0231   	6.9466    	126.2928  	150.0          	2.0949         	-90.2731       	238.3610  
77   	49.7170   	9.5874    	126.9097  	150.0          	2.3811         	-87.5615       	238.2135  
78   	64.6907   	8.6329    	132.8251  	150.0          	2.9086         	-88.3842       	240.0874  
79   	70.6214   	6.7122    	133.4079  	150.0          	3.3056         	-92.0304       	241.5964  
80   	64.1814   	6.5409    	131.2214  	150.0          	3.5354         	-95.7304       	241.5485  
81   	89.3825   	7.5910    	131.5377  	150.0          	3.6211         	-99.3931       	242.0957  
82   	79.8094   	4.3543    	133.0411  	150.0          	3.5010         	-101.4672      	241.5345  
83   	89.2811   	2.1284    	132.2019  	150.0          	3.5773         	-103.7586      	240.6368  
84   	89.0731   	11.4491   	131.2410  	150.0          	3.6415         	-106.3955      	241.8163  
85   	80.6693   	9.5846    	132.1327  	150.0          	3.3218         	-108.0618      	239.0909  
86   	88.1676   	8.8145    	131.0488  	150.0          	3.2148         	-107.1979      	240.3751  
87   	92.6837   	11.5069   	131.4689  	150.0          	3.1784         	-105.6808      	240.2972  
88   	87.6765   	6.9013    	130.3911  	150.0          	3.5530         	-106.3038      	241.5502  
89   	95.2860   	1.0552    	133.1080  	150.0          	3.7639         	-107.9000      	243.8048  
90   	96.2747   	4.4355    	130.3096  	150.0          	3.8237         	-109.6840      	243.3972  
91   	91.2305   	3.1322    	129.4614  	150.0          	3.5538         	-110.7626      	241.9124  
92   	92.5591   	4.0725    	131.6403  	150.0          	3.6342         	-110.8997      	244.2229  
93   	101.1963  	8.2844    	135.1620  	150.0          	3.3853         	-110.6753      	244.0207  
94   	98.2329   	6.5411    	132.9464  	150.0          	3.1497         	-110.1898      	241.6019  
95   	95.1182   	7.0935    	131.8025  	150.0          	3.1538         	-109.6128      	242.1345  
96   	107.0374  	16.3036   	131.8329  	150.0          	3.1893         	-109.1797      	244.2216  
97   	93.2401   	2.0431    	132.1776  	150.0          	3.1199         	-108.8032      	243.5164  
98   	101.4306  	17.7354   	132.8767  	150.0          	2.7997         	-107.5071      	245.7438  
99   	98.9112   	5.3881    	130.5236  	150.0          	2.6222         	-104.9995      	244.9973  
100  	114.2894  	21.4746   	131.5328  	150.0          	2.9108         	-105.2844      	244.5083  
101  	101.3031  	11.2003   	132.6329  	150.0          	3.0931         	-105.6887      	241.8615  
102  	104.4524  	15.3548   	132.2837  	150.0          	3.2231         	-107.0530      	245.1041  
103  	115.7510  	16.2133   	131.4573  	150.0          	3.3281         	-109.2777      	247.2384  
104  	111.0639  	21.2465   	133.2770  	150.0          	3.6897         	-111.9648      	247.2690  
105  	110.7431  	15.9861   	132.1614  	150.0          	4.0571         	-115.0111      	244.1451  
106  	112.7747  	16.5179   	131.9423  	150.0          	3.8669         	-116.7711      	246.6962  
107  	108.8267  	30.6364   	132.9853  	150.0          	3.4342         	-115.7334      	246.4496  
108  	107.3773  	5.5143    	131.9360  	150.0          	3.4080         	-114.9654      	245.8031  
109  	105.9842  	5.7771    	132.3936  	150.0          	3.7531         	-116.4544      	244.2742  
110  	94.6191   	2.1381    	132.0545  	150.0          	3.6183         	-117.3934      	245.0555  
111  	100.3477  	16.0841   	132.1944  	150.0          	3.3932         	-116.4185      	248.9431  
112  	105.7049  	21.4320   	131.9779  	150.0          	3.0750         	-115.8065      	246.5117  
113  	111.5814  	31.5154   	133.4694  	150.0          	2.9277         	-114.2934      	248.7269  
114  	111.8254  	19.4581   	133.4122  	150.0          	2.8846         	-113.6453      	249.3170  
115  	108.3579  	15.4217   	134.2942  	150.0          	2.7529         	-112.5883      	247.3898  
116  	107.1448  	11.6569   	132.9607  	150.0          	2.6666         	-111.6776      	246.4100  
117  	118.3615  	6.0359    	133.4795  	150.0          	2.5780         	-111.3226      	249.2770  
118  	119.5434  	12.9460   	133.3977  	150.0          	2.6203         	-111.8360      	247.4152  
119  	122.8610  	42.8990   	134.5526  	150.0          	2.6353         	-111.9317      	247.4426  
120  	116.4152  	21.7160   	132.2238  	150.0          	2.6068         	-111.7176      	248.4081  
121  	119.2358  	17.5905   	133.5159  	150.0          	2.5732         	-111.6338      	246.8972  
122  	114.9915  	19.3857   	133.7188  	150.0          	2.6394         	-111.6328      	248.5570  
123  	114.7749  	12.0493   	134.3777  	150.0          	2.5337         	-110.8409      	247.4423  
124  	116.8433  	11.3944   	133.5030  	150.0          	2.3353         	-109.8612      	247.6132  
125  	111.8181  	6.2411    	132.5700  	150.0          	2.3033         	-110.0681      	246.0120  
126  	117.2573  	29.8361   	131.8067  	150.0          	2.5893         	-110.9172      	247.1886  
127  	109.3420  	12.0746   	133.1153  	150.0          	2.5185         	-111.5075      	246.8575  
128  	122.8453  	7.4699    	132.9524  	150.0          	2.6090         	-112.1357      	249.6652  
129  	121.5418  	23.5272   	134.9292  	150.0          	3.4170         	-115.0669      	247.2150  
130  	117.3766  	18.9910   	132.8774  	150.0          	3.3416         	-117.8095      	247.2949  
131  	113.4063  	9.9812    	133.9875  	150.0          	2.8852         	-118.2143      	248.1599  
132  	109.9792  	8.6534    	132.6346  	150.0          	2.6387         	-117.3758      	247.7924  
133  	107.4924  	9.7617    	134.4676  	150.0          	2.4441         	-116.5215      	246.1645  
134  	116.7302  	20.1195   	134.2189  	150.0          	2.5223         	-115.6912      	247.3617  
135  	112.3645  	20.4245   	135.2804  	150.0          	2.4614         	-115.3261      	246.7267  
136  	119.8055  	23.1779   	133.3149  	150.0          	2.4973         	-115.0458      	246.0160  
137  	124.8446  	20.5346   	133.2080  	150.0          	2.4370         	-114.3322      	251.2247  
138  	125.3730  	21.6842   	134.6677  	150.0          	2.4868         	-114.0940      	250.4341  
139  	123.4850  	13.6723   	134.8329  	150.0          	2.5433         	-115.0174      	247.5912  
140  	123.8127  	44.8004   	133.4660  	150.0          	2.3880         	-115.4723      	249.6396  
141  	120.4159  	8.9899    	136.0258  	150.0          	2.3665         	-115.2878      	251.0359  
142  	122.0673  	25.9130   	133.6778  	150.0          	2.4299         	-115.2987      	249.0902  
143  	117.8800  	20.3588   	134.1934  	150.0          	2.7256         	-116.2649      	249.0371  
144  	123.6420  	41.5487   	135.1006  	150.0          	2.7431         	-118.4799      	251.2356  
145  	128.2987  	90.7523   	133.7011  	150.0          	2.7552         	-120.2506      	248.0904  
146  	123.9871  	19.9721   	133.1050  	150.0          	2.6464         	-121.1952      	250.5613  
147  	127.3994  	47.1569   	134.5850  	150.0          	2.6738         	-121.6222      	250.2496  
148  	127.5002  	11.6058   	135.6178  	150.0          	2.6886         	-122.7711      	250.5610  
149  	121.8761  	6.0833    	135.5589  	150.0          	2.5615         	-123.7336      	262.0822  
150  	118.7854  	3.1618    	134.4807  	150.0          	2.7303         	-125.0303      	252.4373  
